"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","CRP","IPF(2a)-III","493","0","1.42","-0.51","-0.66","-0.15 (-0.33, 0.04)","0.11","0.49","-0.49","-0.5","-0.01 (-0.11, 0.09)","0.8","0.84"
"4","","2,3-dinor-iPF(2α)-III","493","0","1.42","1.61","1.57","-0.04 (-0.1, 0.02)","0.2","0.52","1.65","1.64","-0.01 (-0.07, 0.04)","0.59","0.76"
"5","","iPF(2α)-VI","493","0","1.42","2.38","2.34","-0.04 (-0.09, 0.02)","0.18","0.49","2.52","2.48","-0.03 (-0.09, 0.02)","0.19","0.59"
"6","","8,12-iso-iPF(2a)-VII","493","0","1.42","2.29","2.26","-0.03 (-0.09, 0.04)","0.39","0.63","2.36","2.33","-0.03 (-0.1, 0.03)","0.33","0.62"
"7","","Combined urinary oxidative stress biomarkers","493","0","1.42","2.82","2.48","-0.34 (-0.59, -0.08)","0.01","0.36","2.89","2.83","-0.06 (-0.15, 0.03)","0.2","0.59"
"8","","Mean change in cortisol","491","-0.15","1.4","-0.01","-0.01","0 (0, 0)","0.7","0.81","-0.01","-0.01","0 (0, 0)","0.75","0.82"
"9","","Pre-stressor salivary cortisol","539","-0.07","1.41","-2.03","-2.07","-0.04 (-0.19, 0.12)","0.63","0.75","-2.01","-2.05","-0.04 (-0.19, 0.11)","0.58","0.76"
"10","","Post-stressor salivary cortisol","496","-0.14","1.41","-1.29","-1.35","-0.06 (-0.18, 0.06)","0.33","0.63","-1.23","-1.28","-0.04 (-0.16, 0.08)","0.49","0.69"
"11","","Mean change in sAA","505","0","1.41","-2.45","-2.19","0.26 (-0.32, 0.84)","0.39","0.63","-3.3","-3.3","0 (0, 0)","0.02","0.37"
"12","","Pre-stressor sAA","537","-0.05","1.41","3.97","4.07","0.1 (0, 0.19)","0.04","0.37","3.97","4.07","0.1 (0, 0.2)","0.04","0.37"
"13","","Post-stressor sAA","512","-0.01","1.42","4.38","4.46","0.08 (-0.03, 0.18)","0.16","0.49","4.37","4.44","0.07 (-0.04, 0.18)","0.2","0.59"
"14","","Mean Arterial Pressure","540","-0.08","1.41","64.2","64.51","0.31 (-0.4, 1.03)","0.4","0.63","63.76","65.29","1.53 (0.06, 3)","0.04","0.37"
"15","","Mean resting heart rate","542","-0.08","1.42","109.47","109.07","-0.4 (-2.62, 1.83)","0.74","0.81","111.63","111.39","-0.22 (-2.54, 2.09)","0.86","0.86"
"16","","Overall mean methylation of GCR","537","-0.05","1.42","0.31","0.29","-0.02 (-0.06, 0.01)","0.17","0.49","0.45","0.42","-0.03 (-0.06, 0.01)","0.14","0.59"
"17","","Methylation of CpG#12","282","-0.04","1.32","-4.38","-4.33","0.05 (-0.05, 0.15)","0.34","0.63","-4.4","-4.24","0.16 (-0.01, 0.33)","0.07","0.39"
"18","","","","","","","","","","","","","","",""
"19","AGP","IPF(2a)-III","493","-1.14","-0.54","-0.56","-0.6","-0.03 (-0.09, 0.03)","0.3","0.62","-0.48","-0.51","-0.02 (-0.08, 0.03)","0.42","0.69"
"20","","2,3-dinor-iPF(2α)-III","493","-1.14","-0.54","1.57","1.6","0.03 (-0.03, 0.09)","0.36","0.63","1.62","1.66","0.04 (-0.02, 0.1)","0.22","0.59"
