"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Vitamin D","IPF(2a)-III","493","32.58","54.97","-0.57","-0.56","0.02 (-0.09, 0.12)","0.76","1","-0.49","-0.46","0.03 (-0.08, 0.14)","0.62","0.94"
"4","","2,3-dinor-iPF(2α)-III","493","32.58","54.97","1.59","1.61","0.03 (-0.01, 0.06)","0.2","1","1.63","1.66","0.02 (-0.01, 0.06)","0.23","0.94"
"5","","iPF(2α)-VI","493","32.58","54.97","2.35","2.36","0.01 (-0.05, 0.06)","0.78","1","2.48","2.49","0.01 (-0.04, 0.06)","0.74","0.94"
"6","","8,12-iso-iPF(2a)-VII","493","32.58","54.97","2.28","2.26","-0.02 (-0.09, 0.05)","0.59","1","2.33","2.31","-0.02 (-0.09, 0.06)","0.64","0.94"
"7","","Combined urinary oxidative stress biomarkers","493","32.58","54.97","2.66","2.68","0.02 (-0.1, 0.14)","0.76","1","2.86","2.88","0.02 (-0.13, 0.17)","0.78","0.94"
"8","","Mean change in cortisol","491","32.53","55.39","-0.01","-0.01","0 (0, 0)","0.56","1","-0.01","-0.01","0 (0, 0)","0.89","0.98"
"9","","Pre-stressor salivary cortisol","539","32.59","55.36","-2.1","-2.11","-0.01 (-0.09, 0.07)","0.84","1","-2.05","-2.07","-0.02 (-0.1, 0.06)","0.64","0.94"
"10","","Post-stressor salivary cortisol","496","32.34","55.34","-1.12","-1.26","-0.14 (-0.43, 0.15)","0.35","1","-1.16","-1.19","-0.03 (-0.3, 0.25)","0.85","0.98"
"11","","Mean change in sAA","505","32.17","54.97","-2.32","-2.32","0 (0, 0)","1","1","-3.05","-3.04","0.01 (-0.02, 0.04)","0.5","0.94"
"12","","Pre-stressor sAA","537","32.43","55.3","4.02","4.08","0.06 (-0.04, 0.16)","0.22","1","4.01","4.05","0.05 (-0.05, 0.15)","0.36","0.94"
"13","","Post-stressor sAA","512","32.22","55.31","4.42","4.43","0.01 (-0.11, 0.13)","0.89","1","4.4","4.42","0.03 (-0.09, 0.14)","0.64","0.94"
"14","","Mean Arterial Pressure","540","32.41","55.34","64.86","63.6","-1.26 (-1.98, -0.54)","0","0.04","64.96","63.71","-1.26 (-1.98, -0.53)","0","0.04"
"15","","Mean resting heart rate","542","32.45","55.34","108.98","108.9","-0.08 (-1.91, 1.76)","0.94","1","110.88","110.73","-0.15 (-1.98, 1.67)","0.88","0.98"
"16","","Overall mean methylation of GCR","537","32.53","55.35","0.3","0.29","-0.01 (-0.04, 0.03)","0.7","1","0.43","0.43","0 (-0.03, 0.03)","1","1"
"17","","Methylation of CpG#12","282","34.13","56.17","-4.36","-4.29","0.07 (-0.03, 0.17)","0.19","1","-4.37","-4.28","0.08 (-0.02, 0.18)","0.1","0.87"
"18","","","","","","","","","","","","","","",""
"19","Ferritin","IPF(2a)-III","493","2.52","3.89","-0.61","-0.6","0.01 (-0.1, 0.12)","0.87","1","-0.52","-0.51","0.02 (-0.1, 0.13)","0.79","0.94"
"20","","2,3-dinor-iPF(2α)-III","493","2.52","3.89","1.6","1.6","0 (-0.05, 0.05)","0.99","1","1.65","1.64","-0.01 (-0.06, 0.04)","0.73","0.94"
