"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Estriol","IPF(2a)-III","488","0.72","1.71","-0.59","-0.58","0.01 (-0.05, 0.07)","0.73","1","-0.51","-0.49","0.01 (-0.06, 0.09)","0.75","0.94"
"4","","2,3-dinor-iPF(2α)-III","488","0.72","1.71","1.63","1.59","-0.03 (-0.09, 0.02)","0.24","1","1.69","1.65","-0.04 (-0.11, 0.03)","0.27","0.9"
"5","","iPF(2α)-VI","488","0.72","1.71","2.36","2.36","0 (-0.05, 0.04)","0.88","1","2.48","2.51","0.02 (-0.03, 0.08)","0.46","0.94"
"6","","8,12-iso-iPF(2a)-VII","488","0.72","1.71","2.28","2.32","0.04 (-0.14, 0.21)","0.69","1","2.21","2.24","0.03 (-0.16, 0.21)","0.81","0.94"
"7","","Combined urinary oxidative stress biomarkers","488","0.72","1.71","2.67","2.65","-0.02 (-0.1, 0.06)","0.67","1","2.77","2.85","0.08 (-0.09, 0.26)","0.36","0.9"
"8","","Mean change in cortisol","486","0.73","1.71","-0.01","-0.01","0 (0, 0)","0.41","1","-0.01","-0.01","0 (0, 0)","0.83","0.94"
"9","","Pre-stressor salivary cortisol","534","0.78","1.73","-2.07","-2.09","-0.02 (-0.1, 0.06)","0.65","1","-2.08","-2.09","-0.01 (-0.11, 0.08)","0.82","0.94"
"10","","Post-stressor salivary cortisol","491","0.74","1.71","-1.29","-1.36","-0.07 (-0.17, 0.03)","0.16","1","-1.23","-1.27","-0.03 (-0.15, 0.08)","0.59","0.94"
"11","","Mean change in sAA","500","0.78","1.74","-2.31","-2.31","0 (0, 0)","1","1","-3.02","-3.03","-0.01 (-0.32, 0.3)","0.94","0.94"
"12","","Pre-stressor sAA","532","0.78","1.74","4.04","4.04","0 (-0.25, 0.25)","0.99","1","4.04","4.06","0.02 (-0.25, 0.28)","0.9","0.94"
"13","","Post-stressor sAA","507","0.78","1.73","4.44","4.44","0 (-0.09, 0.09)","0.97","1","4.4","4.44","0.03 (-0.07, 0.14)","0.54","0.94"
"14","","Mean Arterial Pressure","535","0.78","1.74","64.38","64.25","-0.12 (-0.71, 0.47)","0.69","1","64.51","64.08","-0.43 (-1.16, 0.29)","0.24","0.9"
"15","","Mean resting heart rate","537","0.78","1.73","109.32","108.32","-0.99 (-2.47, 0.48)","0.19","1","111.61","109.43","-2.18 (-4, -0.37)","0.02","0.27"
"16","","Overall mean methylation of GCR","532","0.78","1.73","0.3","0.29","-0.01 (-0.04, 0.02)","0.54","1","0.43","0.41","-0.02 (-0.06, 0.02)","0.33","0.9"
"17","","Methylation of CpG#12","279","0.86","1.76","-4.32","-4.33","-0.01 (-0.07, 0.05)","0.76","1","-4.38","-4.43","-0.05 (-0.12, 0.02)","0.14","0.9"
